"","A.t1_rep2","A.t2_rep2","A.t3_rep2","A.t4_rep2","A.t5_rep2","A.t6_rep2","B.t1_rep2","B.t2_rep2","B.t3_rep2","B.t4_rep2","B.t5_rep2","B.t6_rep2"
"YBR216C",9015,9620,8535,8785,9485,8190,7705,6690,7475,8120,7295,6870
"YBR217W",1895,2540,1760,2440,2225,2140,1280,1600,1710,1775,1420,1625
"YBR218C",48340,49860,41535,44900,42065,42330,52730,47245,50475,54325,49870,43705
"YBR219C",80,35,75,125,70,90,55,10,65,20,50,55
"YBR220C",10620,11630,10350,10760,10865,10800,7385,7035,8030,7860,7305,6710
"YBR221C",103615,117130,96045,103315,105565,104205,107010,99985,106275,116110,105415,92980
"YBR221W-A",120,205,135,165,55,110,80,100,115,115,125,85
"YBR222C",41155,44690,37920,39820,39820,39445,31940,28680,31305,34435,29230,29000
"YBR223C",3705,3940,3915,3395,3720,3245,2995,3170,3215,3400,3120,2895
"YBR223W-A",25,-10,40,25,20,20,45,40,40,5,55,30
"YBR224W",210,190,245,140,290,125,190,120,20,185,265,165
"YBR225W",8130,7425,7630,6475,7110,5615,5090,5130,4815,5275,5180,4320
"YBR226C",170,200,215,250,200,150,130,255,70,205,160,215
"YBR227C",4330,4700,4300,4930,4440,4205,3125,3000,3790,3870,2890,3480
"YBR228W",3455,3385,3255,3255,3700,3305,2785,2905,2625,2940,2870,2715
"YBR229C",15240,16920,12415,14030,14515,13675,13215,11230,13170,14340,12980,11605
"YBR230C",28115,33010,28280,31860,33020,35210,29705,30205,35005,35515,29025,33580
"YBR230W-A",3285,4215,3475,3880,3925,3825,1515,1745,1735,1995,1345,1670
"LSR1",610,915,1015,665,2735,575,2265,1120,3555,2495,785,1550
"YBR231C",3990,4765,4250,4445,4455,4905,1975,2120,2315,2460,2035,2565
"YBR232C",110,95,25,85,105,110,55,75,50,65,10,85
"YBR233W",2510,2515,2330,2455,2720,2480,1225,1420,1435,1675,1085,1790
"YBR233W-A",1640,1750,1495,1955,1775,1930,1520,1335,1575,2045,1310,1525
"YBR234C",52490,56590,50895,54490,54360,54150,44925,43700,44975,50210,44970,43470
"YBR235W",11550,12225,10120,10505,10585,10160,11455,9775,11195,11675,10735,9255
"YBR236C",10220,10490,10270,10155,10230,10050,6840,6635,6995,8050,6580,6705
"YBR237W",4515,4365,4130,4180,4000,3740,2910,2865,2830,3210,2675,2735
"YBR238C",2360,2535,2030,2365,2105,1815,1585,1675,1560,1710,1640,1400
"YBR239C",2250,2595,2720,2550,2660,2145,2350,2330,2280,2735,2310,2345
"YBR240C",1330,1765,1600,1570,1585,1330,865,1025,760,965,1010,675
"YBR241C",18305,19375,15835,18440,18230,18830,9205,9300,10015,10145,9950,9850
"YBR242W",3265,3360,3220,3690,3415,3330,2455,2460,2300,2710,2015,2195
"YBR243C",12610,14380,12620,13560,13120,13215,10970,10855,10665,11425,11050,9675
"YBR244W",1250,1610,1455,1635,1360,1450,5855,6455,5915,6930,5715,6005
"YBR245C",6795,6735,6290,6125,6045,5750,4780,4810,4705,5020,4270,4530
"YBR246W",8085,8895,8450,8725,9115,8085,7310,6435,6860,7795,6010,6175
"YBR247C",1550,1940,1675,1765,1830,1755,1105,1325,985,1315,1215,955
"YBR248C",11245,14465,10615,12710,12405,12735,8225,6675,8615,8820,6410,8240
"YBR249C",49735,58035,51740,55335,52665,52410,65800,64185,63825,69110,62655,60110
"YBR250W",540,495,630,485,545,450,490,375,325,395,275,440
"YBR251W",4550,5035,4810,4500,4915,4575,4770,4200,5060,5350,4295,4775
"YBR252W",4935,5555,5770,5600,6070,6230,5610,6700,6425,6285,6685,5355
"YBR253W",3075,3605,3035,3375,3675,3140,2460,2645,2830,3040,2110,2535
"YBR254C",1820,2310,2560,2555,2460,2565,1825,1955,1920,2420,1720,1950
"YBR255W",3965,4530,4235,4475,4280,3945,3105,3370,3070,3850,3085,3050
"YBR255C-A",4705,6130,5045,5655,5560,5720,3415,3635,3795,4250,3455,3960
"YBR256C",23475,27260,24970,27840,26880,27465,21285,20515,21130,24670,17485,21485
"YBR257W",1825,2200,1920,2325,2045,1780,1070,1255,1130,1465,1030,1165
"YBR258C",1200,1420,1295,1505,1395,1465,865,880,1155,1255,930,1160
"YBR259W",3135,3560,3175,3385,3555,3140,2230,1800,1875,2475,2120,2225
"YBR260C",6535,6710,6255,6415,6480,5975,4570,4455,4535,5165,4305,4410
"YBR261C",6045,7125,5770,6410,7060,6455,5465,5675,4810,5870,5135,4995
"YBR262C",6490,8005,6530,7540,8105,7600,5460,6180,6295,7405,5160,6055
"YBR263W",31795,33160,29145,31845,30780,29910,27400,25705,23635,26715,25560,24330
"YBR264C",3585,3715,3645,3780,4055,3585,2520,2955,2765,3055,2195,2840
"YBR265W",8420,10525,9215,10020,10080,10085,9105,9940,10105,10875,9630,9510
"YBR267W",570,765,720,690,805,800,405,260,445,525,305,460
"YBR266C",50,5,-15,15,90,5,-20,35,20,15,10,50
"YBR268W",3550,4085,3620,3900,4245,4090,3270,3465,3840,3840,3265,3595
"YBR269C",13775,15465,14280,14780,15370,15120,9520,9800,10695,11220,9790,10045
"YBR270C",2985,3035,3080,3150,3145,3275,2360,2490,2230,2750,2075,1985
"YBR271W",1535,1835,1780,1745,1615,1740,1130,1240,1270,1535,1125,995
"YBR272C",4705,5085,5560,4915,5335,4505,3855,4400,3975,4915,4190,3705
"YBR273C",9675,11040,10420,9815,10430,9360,9840,9775,10155,11640,8545,9240
